id,mold,eside,eback,efront,ematerial,ebathtype,elength,m1,m2,m3,m4,m5,m6,m7,m8,backA,backB,backC,backD,backK,back-cx,back-cy,back-cz,back-planarity,frontA,frontB,frontC,frontD,frontK,front-cx,front-cy,front-cz,front-planarity,bottomA,bottomB,bottomC,bottomD,bottomK,bottom-cx,bottom-cy,bottom-cz,bottom-planarity,topA,topB,topC,topD,topK,top-cx,top-cy,top-cz,top-planarity,rightA,rightB,rightC,rightD,rightK,right-cx,right-cy,right-cz,right-planarity,leftA,leftB,leftC,leftD,leftK,left-cx,left-cy,left-cz,left-planarity,heightFront,heightBack,heightRatio,lengthTop,lengthDown,lengthRatio,widthTopFront,widthTopBack,widthDownFront,widthDownBack,widthTopRatio,widthDownRatio,slopeBack,slopeFront,slopeDown,slopeSide,parallelismCos,parallelismTop,parallelismDown,parallelismRatio
2987,56,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.994652,0.102771,-0.0102664,-0.644462,0.0187692,0.654604,-0.0649061,-0.00281178,0.0966851,0.98837,-0.152038,-0.00295254,0.623882,0.0154598,-0.639579,-0.0544817,0.00840921,0.100796,-0.0190617,-0.999815,-0.00257945,0.111667,0.000229568,0.0068718,0.111552,0.00161629,0.536926,0.00114637,-0.999995,-0.00277349,-0.222742,3.37552e-05,-0.0106902,-0.222786,0.0110653,0.0648649,0.00460164,0.191702,0.981442,-0.260502,0.00317633,-0.0217233,-0.065244,0.278274,0.119649,0.00305946,-0.198838,0.980028,0.260669,0.00300117,0.0284996,-0.0679941,-0.279866,0.142388,0.346804,0.321541,0.927156,1.33643,1.2501,0.935395,0.621449,0.618753,0.483241,0.490777,0.995661,1.01559,0.101636,0.153172,0.999796,0.195273,0.999999,1.00436,0.984645,0.980373,
2991,67,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0.785735,0.61713,-0.0420891,-0.449864,0.00856567,0.614481,-0.054656,-0.0184184,0.124668,0.977393,-0.209904,-0.0253491,0.61334,0.0136007,-0.636221,-0.0415482,0.00879906,0.0774194,-0.0287128,-0.999587,-0.00134239,0.108264,0.000163446,-0.0223808,0.108957,-0.00434026,0.406398,0.00184084,-0.999964,0.00825506,-0.201827,4.26986e-05,-0.00112329,-0.201946,-0.0132622,0.0447761,-0.0130889,0.210786,0.977445,-0.236671,0.00368619,-0.0273464,-0.0513502,0.25284,0.0305445,0.0556604,-0.235103,0.970375,0.24065,0.00433677,-0.0498945,-0.0631713,-0.26044,0.0147059,0.32836,0.295023,0.898474,1.40021,1.09902,0.784896,0.535579,0.633736,0.390074,0.482456,1.18327,1.23683,0.616229,0.211771,0.999533,0.223105,0.997503,0.845112,0.808516,0.956697,
2992,23,1,4,4,1,0,2,0,0,0,0,0,0,0,0,0.998082,0.0619028,-0.00017773,-0.640231,0.0356396,0.645605,-0.0668215,0.00147316,0.0209974,0.997535,-0.0701571,0.000989673,0.622528,0.0344887,-0.628253,-0.0594398,0.00703582,0.0120192,-0.0151982,-0.999879,0.00331694,0.11924,0.000191863,0.00161739,0.119236,0.0017373,0.504604,-0.000411257,-0.999999,0.00104842,-0.231032,0.000103712,-0.00771475,-0.231005,0.0223205,0.249221,-0.00562651,0.0861241,0.996269,-0.268078,0.00683969,-0.0121798,-0.0570534,0.273945,0.130238,0.00137593,-0.181661,0.98336,0.258713,0.00694611,-0.00613443,-0.0726852,-0.276509,0.0677249,0.3594,0.340922,0.948588,1.2961,1.24983,0.964308,0.590273,0.599552,0.493039,0.506998,1.01572,1.02831,0.0623133,0.0697468,0.999891,0.133886,0.999975,0.984524,0.972468,0.987754,
2994,564,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.97155,0.236835,0.000707037,-0.619218,0.0185024,0.654508,-0.0703798,-0.000124046,0.0333333,0.994076,-0.108683,-0.000468825,0.624272,0.018846,-0.634049,-0.0554065,0.00265658,0.0591133,-0.0336773,-0.999433,-0.000174685,0.103414,0.000402866,0.00989501,0.103139,0.00140813,0.188337,-0.00323766,-0.999959,-0.00843017,-0.21553,3.24115e-05,0.0234263,-0.216771,0.137137,0.175182,-0.00233894,0.177373,0.984141,-0.266557,0.00365745,-0.0158747,-0.0600862,0.281644,0.0689223,0.006376,-0.219113,0.975679,0.26301,0.00332511,-0.0110289,-0.0762421,-0.286616,0.0912017,0.337751,0.30021,0.888852,1.34177,1.23231,0.918426,0.620911,0.634613,0.484674,0.51245,1.02207,1.05731,0.23998,0.105464,0.999537,0.198274,0.99996,0.978409,0.945796,0.966668,
3002,387,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.973652,0.228038,0.000393296,-0.631893,0.0175298,0.664329,-0.0654791,-0.00207788,0.108434,0.992639,-0.120928,-0.00659554,0.632237,0.0213217,-0.644142,-0.0594247,0.00346805,0.027248,-0.0153777,-0.999882,-0.000126069,0.0972412,0.000848877,0.00409288,0.0971898,-0.000475803,0.113292,0.00308425,-0.99997,-0.00704728,-0.20943,0.000138334,0.0546152,-0.209292,0.00349451,0.179856,0.0114408,0.137032,0.990501,-0.266761,0.00314018,-0.00849704,-0.062659,0.278086,0.0401035,0.00643162,-0.150878,0.988531,0.268999,0.00303968,-0.011499,-0.0749547,-0.283486,0.0218509,0.318233,0.295031,0.927092,1.36026,1.25256,0.920822,0.606288,0.598196,0.513477,0.512785,0.986654,0.998653,0.225034,0.123992,0.99983,0.143965,0.999987,1.01353,1.00135,0.987985,
3004,235,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0.880059,0.47486,-0.00193825,-0.532808,0.0174497,0.640219,-0.0644862,0.000672093,0.042735,0.987461,-0.157839,-0.00268875,0.604106,0.01222,-0.618969,-0.0449936,-1.28358e-05,0.212465,-0.039442,-0.99922,-0.0019265,0.106982,0.000260019,-0.0121956,0.107549,-0.00102207,0.267987,-0.00017305,-1,-0.000302999,-0.205902,2.24793e-05,0.11919,-0.205928,0.0158937,0.125561,-0.000206443,0.156063,0.987747,-0.250356,0.00157394,-0.00993134,-0.0579011,0.262608,0.368766,-0.00265118,-0.16173,0.986832,0.251103,0.0015,-0.012591,-0.0551239,-0.263522,0.349805,0.336194,0.290976,0.865503,1.36127,1.15141,0.845834,0.575758,0.572461,0.467409,0.479179,0.994273,1.02518,0.475013,0.157669,0.999229,0.158897,0.999997,1.00576,0.975436,0.96985,
3005,344,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.969661,0.244099,-0.0131472,-0.622385,0.0214918,0.656511,-0.0586176,-0.00763023,0.0321782,0.989884,-0.141683,-0.00741656,0.627395,0.0161729,-0.640164,-0.044691,0.00522166,0.0755668,-0.0216991,-0.999718,-0.00969079,0.124976,0.000189161,-0.00265442,0.125051,0.00186173,0.548682,-0.00134063,-0.999988,-0.00460271,-0.22468,0.000151613,0.00474042,-0.224713,0.00532269,0.141343,0.00968885,0.156001,0.987709,-0.263898,0.00323786,0.00822314,-0.0506894,0.275107,0.0823928,0.00101596,-0.206563,0.978433,0.260277,0.00305134,-0.00715467,-0.0711131,-0.28102,0.0954825,0.362152,0.337188,0.931068,1.36439,1.22802,0.900048,0.621547,0.61027,0.487445,0.486511,0.981856,0.998084,0.24542,0.140359,0.999793,0.181305,0.999962,1.01848,1.00192,0.983741,
3006,85,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0.877105,0.480203,-0.00954553,-0.528941,0.0177218,0.63722,-0.0625298,-0.00618034,0.0549451,0.987243,-0.159156,-0.00441694,0.605711,0.0120885,-0.620241,-0.0416507,0.00259589,0.223757,-0.0375491,-0.999295,-0.000251672,0.106516,0.000267214,-0.0145712,0.107139,0.000393901,0.257322,0.000997816,-0.999999,-0.000105249,-0.205785,2.57175e-05,0.0780587,-0.20571,0.0176219,0.13278,0.00816464,0.167061,0.985913,-0.250612,0.00158858,-0.00434464,-0.0591278,0.264248,0.173522,0.00853631,-0.164961,0.986263,0.249851,0.00163937,-0.0176607,-0.055791,-0.26251,0.356021,0.33524,0.290927,0.867818,1.36211,1.14968,0.844044,0.576773,0.576822,0.463901,0.478863,1.00008,1.03225,0.479349,0.160143,0.999257,0.166017,1,0.999916,0.968756,0.968838,
3007,11,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0.893098,0.449859,-0.00197768,-0.529677,0.0182065,0.625837,-0.0650324,0.000821445,0.0341151,0.984066,-0.177781,-0.00290457,0.605061,0.0117288,-0.624647,-0.0542337,0.00302304,0.230415,-0.028182,-0.999576,-0.00726748,0.127437,0.000122521,-0.0142201,0.127867,0.00345412,0.536534,0.00270499,-0.999995,-0.00156502,-0.236045,2.63077e-05,0.202422,-0.235727,0.14593,0.177305,0.00168556,0.130537,0.991442,-0.271814,0.00190773,-0.0141226,-0.065183,0.282767,0.386878,0.00221536,-0.162338,0.986733,0.268465,0.00186992,-0.00899274,-0.0840026,-0.285875,0.10102,0.381702,0.346947,0.908947,1.36883,1.12576,0.822425,0.6163,0.615949,0.503199,0.513206,0.99943,1.01989,0.447442,0.180443,0.999523,0.146441,1,1.00057,0.980501,0.979942,
3008,24,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0.890978,0.453987,-0.00730289,-0.541238,0.0183437,0.642199,-0.0681961,-0.0017518,0.0512821,0.990943,-0.134035,-0.00808984,0.6185,0.0128902,-0.630836,-0.0495786,0.00271061,0.21813,-0.0361528,-0.999343,0.00270121,0.101372,0.000277517,-0.00059051,0.101459,-0.000441028,0.236548,-0.000878451,-0.999996,-0.00268267,-0.206407,2.93028e-05,0.0912086,-0.206471,-0.00623941,0.121622,0.00316024,0.147255,0.989094,-0.255154,0.00164342,0.00423523,-0.0605784,0.266973,0.198187,0.00368718,-0.14462,0.98948,0.256235,0.00154552,-0.0224571,-0.0567013,-0.267163,0.243968,0.329294,0.287845,0.874128,1.36492,1.17442,0.860432,0.577317,0.578398,0.480195,0.493345,1.00187,1.02739,0.454782,0.133169,0.999378,0.145937,1,0.998132,0.973345,0.975166,
