id,mold,eside,eback,efront,ematerial,ebathtype,elength,m1,m2,m3,m4,m5,m6,m7,m8,backA,backB,backC,backD,backK,back-cx,back-cy,back-cz,back-planarity,frontA,frontB,frontC,frontD,frontK,front-cx,front-cy,front-cz,front-planarity,bottomA,bottomB,bottomC,bottomD,bottomK,bottom-cx,bottom-cy,bottom-cz,bottom-planarity,topA,topB,topC,topD,topK,top-cx,top-cy,top-cz,top-planarity,rightA,rightB,rightC,rightD,rightK,right-cx,right-cy,right-cz,right-planarity,leftA,leftB,leftC,leftD,leftK,left-cx,left-cy,left-cz,left-planarity,heightFront,heightBack,heightRatio,lengthTop,lengthDown,lengthRatio,widthTopFront,widthTopBack,widthDownFront,widthDownBack,widthTopRatio,widthDownRatio,TFW,TBW,DFW,DBW,TWL,TWR,DWL,DWR,WFL,WFR,WBL,WBR,slopeBack,slopeFront,slopeDown,slopeSide,parallelismCos,parallelismTop,parallelismDown,parallelismRatio
10671,17,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.951307,-0.308244,0.00108439,0.608219,0.0182032,0.635318,0.0124749,0.0076089,0.0333333,0.994901,-0.100669,0.00608494,0.633674,0.019142,-0.637236,-0.00321809,-0.00165314,0.048913,-0.0131312,-0.999867,0.00968711,0.16048,0.000649892,-0.0127284,0.160692,0.00238112,0.140504,-0.0240972,0.999642,-0.0116103,0.141207,0.000332842,-0.0520938,-0.14265,-0.0117354,0.187702,0.01331,-0.231516,-0.97274,0.27752,0.00352765,-0.0357927,0.00723239,0.283086,0.0828877,-0.00314024,-0.17144,0.98519,0.266957,0.00290071,-0.0216794,0.00227587,-0.270643,0.116216,-0.324733,-0.279681,0.861266,1.33303,1.20983,0.907575,0.613869,0.614577,0.480152,0.499354,1.00115,1.03999,0.613869,0.614577,0.480152,0.499354,1.33231,1.33376,1.20905,1.21068,0.333253,0.334956,0.296813,0.298177,0.285229,0.124618,0.999307,0.201547,0.999945,0.998848,0.961547,0.962656,
10672,17,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.949054,-0.315099,-0.00310944,0.60598,0.0178845,0.634026,0.0133976,0.0108326,0.0359281,0.996192,-0.0850487,0.0191881,0.630166,0.0284604,-0.632912,-0.00452022,-0.00248899,0.0536193,-0.0108653,-0.999776,0.0181718,0.161806,0.000665595,-0.0246293,0.162096,-0.000793154,0.126347,-0.0278681,0.999349,-0.0229288,0.140846,2.31499e-05,-0.0222728,-0.142377,-0.0356701,0.233962,0.0196652,-0.23746,-0.971198,0.277415,0.00382489,-0.0296654,0.0121658,0.282066,0.0857909,-0.00398694,-0.162147,0.986759,0.267529,0.00300304,-0.0282621,0.00146074,-0.270993,0.104558,-0.326557,-0.279822,0.856885,1.32564,1.20503,0.909022,0.6108,0.617019,0.477593,0.502342,1.01018,1.05182,0.6108,0.617019,0.477593,0.502342,1.32364,1.32764,1.20307,1.20713,0.335283,0.335507,0.298119,0.297571,0.288523,0.112806,0.999249,0.199951,0.999869,0.989921,0.950733,0.960413,
8350,32,0,2,1,1,0,2,0,0,0,0,0,0,0,0,-0.914589,-0.404363,-0.00416461,0.584082,0.0165187,0.644331,-0.0129224,0.00213383,0.0523013,0.995354,-0.0962769,-0.000740485,0.598351,0.0135597,-0.600396,0.00762337,0.0133131,0.0946602,-0.0213861,-0.999771,-0.000912983,0.189041,0.000207819,-0.00621851,0.189214,0.00367272,0.336694,-0.00856852,0.999962,-0.00175597,0.173196,0.00015594,-0.08036,-0.173962,-0.0403235,0.0341463,-0.0150287,-0.126713,-0.991825,0.283677,0.00305846,0.012948,-0.0202113,0.288401,0.0744681,0.0186749,-0.0939864,0.995398,0.276181,0.00315285,0.00715611,0.000885684,-0.277508,0.115925,-0.379669,-0.345507,0.910021,1.33117,1.14242,0.858211,0.600867,0.603217,0.516603,0.526195,1.00391,1.01857,0.600867,0.603217,0.516603,0.526195,1.33307,1.32927,1.14378,1.14108,0.384157,0.384122,0.378879,0.377771,0.396515,0.104802,0.999551,0.110368,0.999993,0.996104,0.981772,0.985612,
8990,201,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.970663,-0.240365,-0.00612348,0.631965,0.0166924,0.651114,-0.000431151,0.00913559,0.0825688,0.994121,-0.107994,0.00780582,0.640685,0.0226005,-0.644773,-0.00302932,-0.00391195,0.0334262,-0.013318,-0.999846,0.0113966,0.158968,0.000837972,-0.0096184,0.159142,0.00190654,0.123377,-0.0150722,0.99981,-0.0123632,0.146158,2.20289e-05,-0.007267,-0.14701,-0.0578082,0.26616,0.0139463,-0.207435,-0.978149,0.279736,0.00428707,-0.0243159,-0.00179477,0.286018,0.0349288,-0.00337244,-0.113182,0.993569,0.268892,0.00387621,-0.00838854,0.00138991,-0.270502,0.0776567,-0.322906,-0.287693,0.890952,1.34622,1.24009,0.921163,0.599962,0.607921,0.495025,0.513823,1.01327,1.03797,0.599962,0.607921,0.495025,0.513823,1.34707,1.34538,1.24075,1.23949,0.328118,0.331451,0.297758,0.30066,0.225711,0.12297,0.999597,0.160402,0.999941,0.986908,0.963415,0.976195,
8991,201,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.965994,-0.258518,0.00487487,0.634893,0.0163962,0.656827,0.00170844,0.00815394,0.0845921,0.994324,-0.106358,-0.00274217,0.646709,0.0226965,-0.650124,0.00242617,0.00595756,0.0344828,-0.0106711,-0.99993,0.00517985,0.158529,0.000963696,-0.00750038,0.158649,0.0056602,0.157752,-0.0132906,0.999911,0.00112591,0.140957,1.53765e-05,-0.0856613,-0.142118,0.00867696,0.192547,0.0151733,-0.17918,-0.983699,0.281361,0.00282465,0.00122821,-0.0130755,0.288424,0.0497573,-0.00547857,-0.180415,0.983575,0.266511,0.00359147,0.0145977,-0.0115463,-0.272998,0.0723926,-0.314649,-0.284795,0.905121,1.3592,1.24948,0.919275,0.60521,0.612029,0.490349,0.507513,1.01127,1.03501,0.60521,0.612029,0.490349,0.507513,1.35834,1.36008,1.2493,1.24972,0.320574,0.323596,0.296526,0.300299,0.245659,0.119565,0.999713,0.179809,0.999951,0.988859,0.966179,0.977065,
11087,201,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.981126,-0.193285,0.00574005,0.651393,0.0153082,0.665853,-0.00943777,0.0118111,0.0724638,0.991298,-0.131636,8.79096e-05,0.650041,0.0274442,-0.655432,0.0023759,-0.00133116,0.0491803,-0.0126697,-0.999919,0.00104935,0.156217,0.000683954,0.00521763,0.156173,0.00870884,0.135993,-0.00647701,0.99992,0.0108644,0.145647,7.73231e-05,-0.0392744,-0.146353,0.0405133,0.0779221,0.0127237,-0.121063,-0.992563,0.283069,0.00270872,-0.00669064,-0.0022872,0.285383,0.0969773,-0.00642643,-0.113585,0.993508,0.270214,0.0027609,0.000566499,-0.00184435,-0.272188,0.0930233,-0.314,-0.289855,0.923104,1.36761,1.2689,0.927817,0.588386,0.595084,0.514328,0.526218,1.01138,1.02312,0.588386,0.595084,0.514328,0.526218,1.36476,1.37047,1.26738,1.27044,0.315605,0.322838,0.293306,0.300898,0.186929,0.138054,0.999817,0.117318,0.99998,0.988744,0.977405,0.988532,
11390,201,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.975256,-0.221078,0.000373484,0.640843,0.0176316,0.657097,4.00811e-05,0.00992128,0.119048,0.989093,-0.144256,-0.0297451,0.64216,0.0454938,-0.648422,0.00379243,0.00886353,0.0138889,-0.012215,-0.999922,-0.00269301,0.157742,0.000895022,-0.00362304,0.157778,0.00744407,0.135379,-0.00893952,0.999941,-0.00619371,0.145602,0.000124726,-0.036279,-0.145963,-0.00449438,0.197628,0.0159904,-0.124458,-0.992096,0.281901,0.0035736,-0.0123348,0.00110699,0.283809,0.0557717,-0.00351212,-0.180713,0.98353,0.267699,0.00417069,0.0157599,-0.00455546,-0.272963,0.0378788,-0.316525,-0.290018,0.916256,1.36035,1.24821,0.917567,0.595384,0.608187,0.497677,0.517705,1.0215,1.04024,0.595384,0.608187,0.497677,0.517705,1.36984,1.35089,1.25527,1.24124,0.328674,0.319848,0.304215,0.296524,0.212351,0.153161,0.999776,0.152564,0.999921,0.978948,0.961314,0.981986,
6671,393,1,2,2,1,0,2,0,0,0,0,0,0,0,0,-0.968292,-0.249716,0.0073092,0.630076,0.0139675,0.650157,0.00198131,-0.00548639,0.0246914,0.976129,-0.215921,0.0234666,0.625099,0.0145243,-0.637599,0.0115676,-0.0094899,0.0512821,-0.0177038,-0.999843,7.42077e-05,0.174716,0.000666209,0.0041538,0.174669,0.000679888,0.162933,0.00356053,0.99998,-0.0052526,0.142745,3.53518e-05,0.0224163,-0.14277,0.0111326,0.29021,0.0100995,-0.164215,-0.986373,0.262015,0.00496783,-0.00778213,0.0160881,0.262877,0.0112923,0.0010235,-0.167851,0.985812,0.261009,0.00451648,-0.00389835,0.00899874,-0.26323,0.0162703,-0.325973,-0.30886,0.947499,1.35956,1.20799,0.888516,0.570204,0.587094,0.461305,0.482076,1.02962,1.04503,0.570204,0.587094,0.461305,0.482076,1.35121,1.36796,1.20064,1.21542,0.339347,0.33668,0.325115,0.321996,0.253169,0.212503,0.9999,0.166033,0.999936,0.971232,0.956914,0.985258,
7141,393,1,2,2,1,0,2,0,0,0,0,0,0,0,0,-0.962448,-0.27138,-0.00690596,0.627479,0.0147977,0.650487,0.00520241,0.00112273,0.0411392,0.980488,-0.196577,-6.0667e-05,0.629873,0.0124256,-0.638007,0.021947,-0.0042956,0.0449102,-0.0214466,-0.999756,0.0052687,0.174938,0.000605444,0.00383476,0.174895,-0.000741193,0.196687,0.00248364,0.99991,-0.0131758,0.1375,2.05368e-05,0.0186903,-0.137696,-0.0104198,0.416667,0.00395012,-0.149193,-0.9888,0.259823,0.00337382,-0.00468218,0.0192441,0.259844,0.00518135,-0.00833041,-0.133998,0.990947,0.259573,0.00332807,0.00380994,0.015338,-0.259839,0.00381194,-0.323974,-0.300945,0.928917,1.36085,1.2113,0.890108,0.566546,0.561462,0.473602,0.475669,0.991026,1.00436,0.566546,0.561462,0.473602,0.475669,1.36469,1.35701,1.21363,1.20897,0.335786,0.331253,0.31804,0.313606,0.273776,0.194141,0.99982,0.1416,0.99999,1.00906,0.995655,0.98672,
7268,393,1,2,2,1,0,2,0,0,0,0,0,0,0,0,-0.967092,-0.252307,0.0327862,0.623533,0.0137067,0.644239,0.000389216,-0.0121056,0.0385757,0.982894,-0.184069,-0.00619648,0.623599,0.0161894,-0.631432,0.0159607,0.00499181,0.125,-0.0225191,-0.999668,0.0125361,0.176628,0.00066242,0.0103847,0.176463,0.000791623,0.161088,0.00881598,0.999897,-0.0113212,0.135834,4.75235e-05,0.107374,-0.136662,0.0116662,0.194853,0.00792932,-0.157809,-0.987438,0.260885,0.00457224,-0.000258616,0.0215644,0.260756,0.00655308,-0.00386011,-0.199781,0.979833,0.259778,0.00505263,0.0159244,0.00662443,-0.263712,0.0100251,-0.320711,-0.304252,0.94868,1.3407,1.20155,0.896207,0.57419,0.584281,0.457912,0.472905,1.01757,1.03274,0.57419,0.584281,0.457912,0.472905,1.33404,1.34738,1.19622,1.20692,0.332887,0.329318,0.321219,0.319089,0.260964,0.1754,0.999906,0.178743,0.999992,0.98273,0.968295,0.985311,
