id,mold,eside,eback,efront,ematerial,ebathtype,elength,m1,m2,m3,m4,m5,m6,m7,m8,backA,backB,backC,backD,backK,back-cx,back-cy,back-cz,back-planarity,frontA,frontB,frontC,frontD,frontK,front-cx,front-cy,front-cz,front-planarity,bottomA,bottomB,bottomC,bottomD,bottomK,bottom-cx,bottom-cy,bottom-cz,bottom-planarity,topA,topB,topC,topD,topK,top-cx,top-cy,top-cz,top-planarity,rightA,rightB,rightC,rightD,rightK,right-cx,right-cy,right-cz,right-planarity,leftA,leftB,leftC,leftD,leftK,left-cx,left-cy,left-cz,left-planarity,heightFront,heightBack,heightRatio,lengthTop,lengthDown,lengthRatio,widthTopFront,widthTopBack,widthDownFront,widthDownBack,widthTopRatio,widthDownRatio,slopeBack,slopeFront,slopeDown,slopeSide,parallelismCos,parallelismTop,parallelismDown,parallelismRatio
10671,17,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.954779,0.296648,0.0199099,-0.622401,0.0170201,0.653068,-0.0043685,0.00812049,0.0695652,0.953957,-0.29989,0.00558123,0.59969,0.0275805,-0.634913,-0.0201748,-0.0108013,0.0142518,-0.0329764,-0.999451,-0.00325337,0.158691,0.000839621,0.00754694,0.158549,-0.0060733,0.143822,0.00550123,-0.999985,-0.000174999,-0.145134,1.94953e-05,-0.125721,-0.145826,-0.00913349,0.170648,-0.0175135,0.309248,0.95082,-0.263568,0.00458479,0.00305119,-0.0242231,0.285135,0.0995423,-0.00805639,-0.187067,0.982314,0.274875,0.00278827,-0.00618843,0.000851004,-0.279712,0.12938,0.326017,0.28048,0.860321,1.37098,1.18226,0.862346,0.626853,0.636976,0.459582,0.491777,1.01615,1.07005,0.291448,0.305138,0.99926,0.248181,0.999948,0.984108,0.934533,0.949624,
10672,17,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.955588,0.294678,0.00400369,-0.61943,0.0182501,0.649098,-0.00286211,0.000676061,0.0598802,0.994502,-0.10465,0.00371556,0.614941,0.0200084,-0.617684,0.00587095,-0.0105181,0.0708215,-0.0333852,-0.999439,-0.00270381,0.159007,0.000632488,0.0133692,0.158662,-0.00446559,0.119071,0.00645066,-0.999979,0.000459047,-0.144975,2.5694e-05,-0.00532198,-0.145014,-0.00523219,0.156951,-0.0147241,0.251422,0.967766,-0.267422,0.00419659,-0.0256715,-0.00133481,0.276286,0.0859375,-0.0113469,-0.174985,0.984506,0.275645,0.00259955,0.00177571,0.00208388,-0.279593,0.128514,0.328011,0.279938,0.853442,1.32565,1.20562,0.909458,0.61916,0.620302,0.475741,0.49782,1.00184,1.04641,0.28851,0.111064,0.999206,0.213227,0.999993,0.998159,0.955648,0.95741,
8350,32,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0.906566,0.422025,-0.00568323,-0.570956,0.0132444,0.637226,-0.015938,0.00102326,0.0618337,0.99457,-0.103409,0.0116896,0.604738,0.0117417,-0.607403,0.00671656,0.00525185,0.11809,-0.0277413,-0.999611,-0.00274836,0.183032,0.000205725,-0.00472268,0.183229,0.00171716,0.330587,0.00169557,-0.999998,0.00144303,-0.178702,9.93518e-05,-0.0260103,-0.17883,-0.0572899,0.0136986,0.00148258,0.122149,0.992511,-0.281403,0.00220246,-0.0018618,-0.0268374,0.286832,0.0837867,-0.00438196,-0.0962418,0.995348,0.277617,0.00356449,0.0110428,-0.00759325,-0.2796,0.126744,0.379104,0.345555,0.911504,1.33924,1.13943,0.850807,0.605661,0.597248,0.522129,0.522358,0.98611,1.00044,0.420495,0.105102,0.999567,0.109198,0.999983,1.01409,0.999561,0.985678,
8990,201,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.974585,0.223999,-0.00296222,-0.647075,0.0170693,0.664421,-0.00206937,-0.00122263,0.107595,0.996817,-0.0793274,-0.00790758,0.628554,0.0233079,-0.629622,0.01219,-0.00405203,0.0721925,-0.0211953,-0.999767,-0.0040508,0.165296,0.000889416,0.00669646,0.165192,0.000105871,0.117229,0.00565331,-0.999978,-0.00332984,-0.139519,4.01853e-05,0.0442989,-0.139196,-0.0229049,0.189394,-0.00738481,0.204917,0.978751,-0.273453,0.00453693,-0.00963399,-0.00341729,0.280032,0.0625782,0.00548096,-0.122809,0.992415,0.276237,0.0038398,-0.0126133,0.0111011,-0.276905,0.0462833,0.321409,0.287964,0.895943,1.33707,1.2457,0.931662,0.597151,0.612094,0.490354,0.515419,1.02502,1.05112,0.218487,0.0849641,0.99964,0.163843,0.999915,0.975587,0.95137,0.975177,
8991,201,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.972731,0.231856,-0.00606054,-0.65102,0.0187049,0.669332,-0.000328156,-0.00260775,0.0747664,0.994372,-0.105466,0.0100804,0.634228,0.0207796,-0.636385,0.0129409,-0.00593434,0.0446927,-0.0190979,-0.999812,-0.00340357,0.164495,0.00114063,0.000668749,0.164512,0.000473664,0.148841,0.00183647,-0.999997,-0.00173873,-0.136003,0.000127205,-0.132325,-0.136254,0.00426281,0.138122,-0.00619307,0.193791,0.981023,-0.274543,0.00376465,-0.00449781,-0.0141956,0.282629,0.0512515,-0.000147877,-0.198999,0.98,0.27481,0.00273754,0.0109161,-0.0173489,-0.28394,0.0404624,0.313494,0.287272,0.916356,1.35374,1.25228,0.925053,0.611224,0.618588,0.485817,0.503133,1.01205,1.03564,0.230073,0.107297,0.999781,0.196398,0.999981,0.988096,0.965585,0.977218,
11087,201,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.979972,0.198756,-0.0122808,-0.663583,0.0159223,0.678806,-0.00793439,0.00409255,0.0940171,0.991754,-0.128133,-0.00263036,0.641596,0.0206138,-0.645828,0.00860921,-0.00349472,0.0552486,-0.0212986,-0.999763,0.00445166,0.162561,0.000709943,0.0136655,0.162306,-0.000472524,0.138269,-0.00165254,-0.999969,-0.00770144,-0.138339,5.32188e-05,0.022219,-0.138449,0.00899908,0.0813559,-0.0019218,0.100676,0.994917,-0.276443,0.00251132,0.0245549,0.00564995,0.277331,0.0841121,0.00130719,-0.124637,0.992202,0.276575,0.00349553,0.00670676,0.00607265,-0.277994,0.0815508,0.313216,0.288238,0.920252,1.37008,1.27147,0.928022,0.585531,0.590557,0.514715,0.52502,1.00858,1.02002,0.20039,0.126494,0.999807,0.112664,0.999995,0.99149,0.980371,0.988785,
11390,201,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.977927,0.208842,0.00664428,-0.655125,0.0185231,0.670187,-0.00141066,0.00400528,0.0960961,0.988091,-0.153496,-0.0107126,0.629225,0.0381248,-0.634561,0.0149094,-0.00628702,0.030137,-0.0196665,-0.999784,-0.00678786,0.163702,0.000929608,0.00650709,0.163609,0.00012785,0.133508,3.36804e-05,-0.999999,0.00138298,-0.138587,0.000127023,0.0667708,-0.138523,0.044668,0.257576,-0.00482966,0.125622,0.992066,-0.275191,0.00378669,0.000390343,0.00965187,0.276172,0.0369863,0.00149926,-0.207679,0.978196,0.275311,0.00412315,-0.00778162,-0.0110552,-0.283783,0.0449173,0.314295,0.289714,0.92179,1.358,1.2473,0.918484,0.601693,0.61033,0.495285,0.511556,1.01435,1.03285,0.208814,0.153538,0.999806,0.166642,0.99998,0.985849,0.968193,0.98209,
6671,393,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0.969935,0.243238,-0.00783787,-0.631084,0.015046,0.652352,-0.00695922,-0.00483307,0.0182927,0.979679,-0.199438,0.0213186,0.621638,0.0143736,-0.634555,-0.00203827,-0.0180114,0.0643275,-0.0137772,-0.999898,0.00383534,0.164023,0.000658646,0.00382534,0.163982,-0.00139641,0.167351,0.00175003,-0.999954,0.00938095,-0.153444,2.85487e-05,-0.0139572,-0.153152,0.0345301,0.274336,-0.0104922,0.171621,0.985107,-0.256456,0.00511077,-0.00454073,0.00440472,0.259517,0.0140845,-0.000852898,-0.14605,0.989277,0.263833,0.00384328,0.0080767,-0.00677587,-0.267686,0.0213033,0.326833,0.30799,0.942348,1.35476,1.21101,0.89389,0.570289,0.582744,0.465742,0.482943,1.02184,1.03693,0.241548,0.201198,0.999879,0.158853,0.999952,0.978627,0.964383,0.985444,
7141,393,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0.960208,0.278811,0.0162849,-0.627403,0.0145191,0.653198,0.000640635,0.00114184,0.046875,0.983037,-0.183408,0.000179787,0.6254,0.0134272,-0.634974,0.00652014,-0.00666701,0.046729,-0.0162788,-0.99986,0.00393951,0.164034,0.000569403,-0.00177308,0.164073,-0.00308733,0.196466,0.00392989,-0.99996,0.00805836,-0.149119,2.32569e-05,-0.00802259,-0.149267,-0.0137781,0.323232,-0.00551565,0.154386,0.987995,-0.255169,0.00368902,-0.0035629,0.00600833,0.257311,0.0334225,-0.00592871,-0.130655,0.99141,0.260855,0.00340754,0.00738297,0.00252991,-0.262737,0.0455729,0.325405,0.300871,0.924607,1.36039,1.2126,0.891359,0.565334,0.563273,0.471528,0.47675,0.996354,1.01107,0.275071,0.18727,0.999796,0.142532,1,1.00366,0.989047,0.985441,
7268,393,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0.965317,0.259887,-0.0249407,-0.623048,0.0137688,0.646442,-0.00447391,-0.00758254,0.0333333,0.984871,-0.172556,-0.0159542,0.618489,0.0174602,-0.627552,0.00222994,0.00295485,0.111748,-0.0131765,-0.999819,0.0137191,0.164075,0.00069569,-0.00535087,0.164116,-0.00431497,0.167695,0.00194958,-0.999952,0.0096183,-0.148883,4.05176e-05,0.112991,-0.14913,-0.0478495,0.172414,-0.0104172,0.150061,0.988622,-0.256118,0.00473862,-0.0114333,0.00669299,0.257929,0.0318302,-0.00448027,-0.156099,0.987731,0.262493,0.00356683,0.012418,0.000961726,-0.265545,0.0288714,0.321994,0.303856,0.94367,1.33969,1.20156,0.896896,0.567655,0.574944,0.468186,0.480318,1.01284,1.02591,0.258085,0.174498,0.999886,0.153073,0.999982,0.987322,0.974743,0.98726,
