id,mold,eside,eback,efront,ematerial,ebathtype,elength,m1,m2,m3,m4,m5,m6,m7,m8,backA,backB,backC,backD,backK,back-cx,back-cy,back-cz,frontA,frontB,frontC,frontD,frontK,front-cx,front-cy,front-cz,bottomA,bottomB,bottomC,bottomD,bottomK,bottom-cx,bottom-cy,bottom-cz,topA,topB,topC,topD,topK,top-cx,top-cy,top-cz,rightA,rightB,rightC,rightD,rightK,right-cx,right-cy,right-cz,leftA,leftB,leftC,leftD,leftK,left-cx,left-cy,left-cz
1461,11,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0.890403,0.455121,0.00684867,-0.557701,0.0172601,0.634346,-0.0157588,0.00729778,0.990047,-0.140717,0.00238859,0.614304,0.0089108,-0.619315,0.00811137,-0.00489241,-0.0367482,-0.999325,-4.98114e-05,0.182096,9.93518e-05,-0.0208491,0.182985,0.000569637,-0.000795295,-0.999999,-0.00130888,-0.183442,1.60415e-05,0.109944,-0.18354,0.00772743,-0.00781088,0.12318,0.992354,-0.278837,0.00179804,-0.0109488,-0.00693616,0.28176,-0.0113447,-0.128959,0.991585,0.278182,0.0015244,-0.00639014,-0.00632325,-0.281439,
1462,11,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0.889307,0.456878,0.0199111,-0.566186,0.0174919,0.647344,-0.0210986,0.00695859,0.986994,-0.160588,0.00733803,0.621141,0.00933208,-0.627737,0.00956951,-0.00429947,-0.0411434,-0.999149,-0.00287106,0.179155,0.000102566,-0.0124771,0.179827,-0.00218677,-0.0066025,-0.999976,-0.00217434,-0.185709,2.05174e-05,0.118536,-0.186511,0.00646856,-0.00734842,0.132232,0.991192,-0.280478,0.00164159,-0.00598109,-0.00961279,0.284209,-0.0117666,-0.131097,0.9913,0.27905,0.00158657,-0.00604702,-0.00804804,-0.282635,
1463,56,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.986447,0.164071,-0.00196544,-0.655599,0.0213408,0.665303,-0.00417882,0.000288203,0.995645,-0.091052,0.0200076,0.647265,0.0352737,-0.649402,0.00830224,0.00322891,-0.0216557,-0.999763,0.00211163,0.171821,0.000247147,0.000143124,0.17185,-0.00395347,0.00214828,-0.999998,0.000283516,-0.159983,2.93753e-05,0.00981961,-0.159968,-0.0181377,0.0138832,0.157406,0.987436,-0.276187,0.00256804,0.00281777,0.00446085,0.27895,0.00479789,-0.140067,0.99013,0.275689,0.00280675,-0.00445626,0.00397705,-0.277853,
1464,56,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.987655,0.156633,-0.00186622,-0.656465,0.018495,0.665616,-0.00599087,-0.00241126,0.993744,-0.111545,0.00557711,0.647876,0.0174043,-0.651139,0.00739451,0.00246252,-0.0210392,-0.999775,0.00286653,0.171752,0.000238207,0.000304024,0.171782,-0.00077986,0.00075842,-1,0.000294152,-0.159639,1.51163e-05,-0.00651852,-0.15964,0.0119257,0.0110167,0.153426,0.988099,-0.275961,0.00256721,-0.000449924,0.00684817,0.278226,0.00573978,-0.137759,0.990449,0.275343,0.00298003,0.00151758,0.0050447,-0.277305,
1465,12,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0.959597,0.280812,0.0178159,-0.635186,0.0135456,0.662158,-0.00138991,0.00962575,0.97807,-0.207504,0.0179367,0.639565,0.0140544,-0.652346,0.00674813,-0.00696704,-0.0190551,-0.999814,-0.00285668,0.160585,0.000514371,-0.00278034,0.160668,-8.34105e-05,-0.000128349,-0.999999,-0.00147307,-0.157544,2.05246e-05,0.0266525,-0.157544,-0.00204271,-0.00997682,0.127852,0.991743,-0.26337,0.00323947,-0.00334681,-0.00200492,0.265787,-0.0163709,-0.115855,0.993131,0.262892,0.00332317,-0.00599104,-0.00119906,-0.264949,
1466,12,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0.960905,0.276596,0.0125075,-0.62731,0.0134649,0.653067,-0.00118696,0.00822695,0.982729,-0.184906,0.00735783,0.63441,0.0140195,-0.644065,0.00774774,-0.00497386,-0.0199138,-0.9998,0.00208413,0.162413,0.000521248,-0.000970868,0.162451,-0.00664361,0.000795042,-0.999998,-0.0018262,-0.155777,1.60308e-05,-0.0234419,-0.15581,0.00768356,-0.0105791,0.118796,0.992862,-0.262903,0.00330473,-0.00610607,-0.00107519,0.264857,-0.0142135,-0.123624,0.992227,0.261731,0.00320292,-0.00971015,0.000136272,-0.263903,
1467,67,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0.784242,0.619909,-0.0260157,-0.488002,0.00859604,0.621508,0.000550575,-0.00954069,0.984932,-0.169484,-0.0344211,0.621326,0.00946521,-0.627413,0.0197704,0.000461037,-0.0325357,-0.999405,-0.0114439,0.16936,0.000138044,-0.0292766,0.17044,-0.00228492,0.00520637,-0.999986,0.00104806,-0.14656,9.02596e-05,-0.0235918,-0.146697,-0.0117125,-0.0219992,0.140775,0.989797,-0.250364,0.00218582,-0.0213568,0.00471197,0.2518,0.0415723,-0.152763,0.987388,0.257462,0.00204213,-0.0246747,0.0070701,-0.258618,
1468,67,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0.795592,0.605221,-0.0272206,-0.498675,0.00886756,0.627002,-0.000788235,-0.0115627,0.975617,-0.216756,-0.0344642,0.621708,0.0101324,-0.633056,0.018656,0.00126495,-0.0304559,-0.999459,-0.0124534,0.167577,0.000136037,-0.0192554,0.168304,-0.00402454,-0.00175155,-0.999992,0.00358568,-0.147122,1.85847e-05,-0.000880764,-0.147252,-0.0362588,-0.0240682,0.149098,0.98853,-0.250811,0.00202487,-0.0162509,0.003638,0.252777,0.0431686,-0.150388,0.987684,0.257854,0.00213202,-0.0227431,0.00517392,-0.259287,
1469,28,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0.87918,0.476444,-0.00657545,-0.581801,0.0126994,0.663792,-0.00384605,-0.0061661,0.997579,-0.0688075,-0.0100896,0.617552,0.0160344,-0.618146,0.0112199,0.0129955,-0.0270594,-0.999626,0.0039595,0.182048,0.000362449,-0.00997051,0.182372,-0.00345909,0.00082741,-0.999997,0.00243342,-0.165859,2.35957e-05,0.04351,-0.165818,0.00233317,0.0185575,0.134671,0.990717,-0.278388,0.00215682,0.0115083,9.95498e-06,0.28078,0.0154327,-0.135411,0.990669,0.272391,0.00228062,0.00869558,0.00135139,-0.274907,
1470,28,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0.880953,0.473188,-0.00382825,-0.584393,0.0126853,0.665712,-0.00442398,-0.00662013,0.996902,-0.0780677,-0.00961775,0.617924,0.0162777,-0.619052,0.00872053,0.0113486,-0.0271169,-0.999623,0.00439896,0.182152,0.000349102,-0.0102479,0.182483,-0.00357052,0.000513751,-0.999997,0.00253018,-0.167517,2.90929e-05,0.0615657,-0.167511,-0.00986325,0.0194854,0.133999,0.99079,-0.278772,0.00214856,0.00989035,-0.000614639,0.281252,0.0144842,-0.137264,0.990429,0.272772,0.00214326,0.00761513,-0.00089268,-0.275643,
1471,14,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.974399,0.224801,0.00319382,-0.65515,0.0176081,0.672752,-0.00187962,0.0135546,0.996311,-0.0855631,0.00659004,0.662039,0.0227371,-0.664331,0.00119039,-0.00861747,-0.0121361,-0.999921,0.00330025,0.158023,0.00044552,-0.0034805,0.15813,0.0158939,0.00228507,-0.999996,0.00189282,-0.16275,1.90233e-05,0.00966859,-0.162722,0.0034707,-0.0121787,0.0855273,0.996261,-0.287653,0.00260833,-0.0134065,-0.00848733,0.289297,-0.0091401,-0.0772016,0.996974,0.275118,0.00292293,-0.00193516,-0.0102933,-0.276768,
1472,14,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.973092,0.230316,-0.00685962,-0.642114,0.0176626,0.660651,-0.00302049,0.0093201,0.998473,-0.0551271,0.00358457,0.65187,0.0211088,-0.652799,0.00151202,0.00416455,-0.0125757,-0.999892,0.00758071,0.158895,0.000460406,-0.00983219,0.159123,0.011532,0.00505504,-0.999985,0.00211763,-0.161333,1.35143e-05,0.023297,-0.161216,0.000945733,-0.0120792,0.0763962,0.997004,-0.283815,0.00284595,-0.0104885,-0.0022646,0.284714,-0.0104474,-0.0804942,0.9967,0.271431,0.00305538,-0.00629084,-0.00329715,-0.272661,
1675,6,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0.966891,0.255176,-0.00269061,-0.627391,0.0141878,0.646636,0.00851453,0.00290043,0.987297,-0.158745,0.00673742,0.629747,0.0130138,-0.635015,0.0175611,-0.00157939,-0.0223119,-0.999727,0.00688962,0.178379,0.000407056,0.00120306,0.178399,-0.000293858,0.0013457,-0.999999,0.00109404,-0.157184,1.54655e-05,0.0138416,-0.157153,0.0122009,-0.00407912,0.112105,0.993688,-0.262888,0.0034728,-0.00403157,0.00926005,0.263496,-0.00612696,-0.107318,0.994206,0.262154,0.00342817,-0.00326207,0.00854255,-0.26278,
1676,60,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0.894327,0.447413,-0.00111212,-0.542913,0.0183355,0.607413,-0.000715148,-0.00651708,0.988007,-0.154392,-0.00243918,0.581467,0.0106315,-0.586451,0.0131494,0.00790971,-0.0311569,-0.999512,0.00216101,0.197355,0.000147632,-0.00705196,0.19767,-0.000905173,0.00235987,-0.999993,0.00291182,-0.170857,6.02816e-05,0.114733,-0.170573,0.00512229,0.013542,0.133042,0.991018,-0.275817,0.00196122,-0.00914072,0.00785605,0.277387,0.0145448,-0.105991,0.994261,0.274989,0.00202618,-0.00901733,0.0064337,-0.275758,
1677,60,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0.896295,0.44343,-0.00505106,-0.543954,0.0179995,0.606602,0.000525683,-0.00520436,0.987575,-0.157105,-0.00372556,0.580951,0.010508,-0.586047,0.013753,0.00664279,-0.0306074,-0.99953,0.00197346,0.197883,0.000143116,-0.00647849,0.198181,0.00328944,0.00345629,-0.99999,0.00284449,-0.170556,8.86871e-06,0.078226,-0.170151,0.0477935,0.0131714,0.132005,0.991161,-0.275381,0.00199152,-0.0132955,0.00811928,0.276932,0.0153644,-0.107621,0.994073,0.275429,0.0019451,-0.00900603,0.00711901,-0.276161,
1678,59,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0.897857,0.440246,0.00602228,-0.56521,0.0113116,0.6318,-0.00468044,0.000576928,0.986372,-0.164523,0.00135859,0.59703,0.00964468,-0.604189,0.00646751,-0.00749099,-0.0252775,-0.999678,-0.00221798,0.164394,6.89803e-05,-0.00310245,0.164538,-0.00569277,0.00207782,-0.999998,0.000672099,-0.152394,8.29465e-06,0.0388919,-0.152305,0.012538,-0.0119869,0.121085,0.99257,-0.246523,0.000807793,-0.0131781,0.00152979,0.248022,-0.00259617,-0.12051,0.992709,0.25502,0.000858969,-0.00824351,0.00183157,-0.256692,
1679,59,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0.898016,0.439913,0.00654213,-0.566206,0.011234,0.632248,-0.00354363,-0.000760654,0.985876,-0.167473,0.000871513,0.597248,0.00955413,-0.604303,0.00880605,-0.00679871,-0.0260767,-0.999658,-0.00187537,0.164729,7.35878e-05,-0.00221478,0.164854,-0.00542388,0.0012819,-0.999998,0.00155096,-0.151422,9.17337e-06,0.0868581,-0.151347,-0.0229759,-0.0116929,0.120581,0.992635,-0.246732,0.000825052,-0.0115516,0.00177283,0.248212,-0.00288817,-0.12088,0.992663,0.255178,0.0008614,-0.0091385,0.00356599,-0.256657,
1680,57,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0.989296,0.145868,-0.00408899,-0.59526,0.0185644,0.601805,-0.000883935,-0.00652933,0.98988,-0.141611,-0.00920776,0.580946,0.0180628,-0.585483,0.00994094,-0.00210216,-0.0235783,-0.99972,-0.00203716,0.139232,0.000388188,0.0142461,0.138942,-0.00302601,-0.000345261,-0.999979,-0.00649922,-0.121654,1.18464e-05,0.0972642,-0.122102,0.0632824,0.00881195,0.137215,0.990502,-0.249428,0.0023297,0.00494091,0.00779024,0.250697,0.00561257,-0.171347,0.985195,0.260454,0.00241204,-0.00497307,0.00815001,-0.262922,
1681,57,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0.989459,0.144804,0.00144652,-0.595637,0.0185821,0.602207,-0.00147726,-0.00599378,0.989886,-0.141643,-0.00789897,0.581715,0.0180105,-0.586311,0.00952561,-0.00193199,-0.0231462,-0.999732,0.00101549,0.13893,0.000385521,0.0135139,0.138648,-0.00667706,0.00205908,-0.999993,-0.00324448,-0.122368,1.17112e-05,-0.0580615,-0.122597,0.0335321,0.00989542,0.140188,0.990076,-0.249514,0.00230501,-0.00166115,0.00563198,0.251235,0.00607907,-0.167732,0.985814,0.260889,0.00242737,-0.00431791,0.00719278,-0.263393,
1682,56,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.990205,0.139618,-0.0013888,-0.648045,0.0223898,0.654775,-0.00227097,-0.000690301,0.99494,-0.0997659,0.0118746,0.639909,0.0315936,-0.642257,0.00938573,0.00291108,-0.0205025,-0.99979,-0.000660746,0.173235,0.000256109,0.00624759,0.173143,-0.000770363,0.00154954,-0.999999,-0.000561354,-0.157586,1.71453e-05,-0.0270681,-0.157653,0.0440084,0.00982212,0.155821,0.987736,-0.27368,0.00258817,-0.0059076,0.0076852,0.275924,0.00758371,-0.131045,0.991347,0.27365,0.00289435,-0.0042066,0.0102489,-0.274651,
1683,56,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.989201,0.141309,-0.03889,-0.643667,0.0661576,0.651059,-0.00341226,-0.00310256,0.992384,-0.107298,0.0605019,0.634571,0.0847256,-0.638601,0.0087923,0.00181874,-0.0209246,-0.999781,-0.000952979,0.173179,0.000254138,0.00664403,0.17308,-0.00123428,0.000543199,-0.999998,-0.00170287,-0.156559,0.000307308,0.0989898,-0.156475,-0.018028,0.0103283,0.158773,0.987261,-0.27356,0.00268514,0.00800406,0.0119979,0.275077,0.00675938,-0.130603,0.991412,0.273483,0.00284513,0.00128388,0.00846197,-0.274746,
