id,mold,eside,eback,efront,ematerial,ebathtype,elength,m1,m2,m3,m4,m5,m6,m7,m8,backA,backB,backC,backD,backK,back-cx,back-cy,back-cz,frontA,frontB,frontC,frontD,frontK,front-cx,front-cy,front-cz,bottomA,bottomB,bottomC,bottomD,bottomK,bottom-cx,bottom-cy,bottom-cz,topA,topB,topC,topD,topK,top-cx,top-cy,top-cz,rightA,rightB,rightC,rightD,rightK,right-cx,right-cy,right-cz,leftA,leftB,leftC,leftD,leftK,left-cx,left-cy,left-cz
2987,56,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.993457,0.114027,-0.00644516,-0.642943,0.0170627,0.654257,-0.0617187,-0.000716756,0.990052,-0.140626,-0.00455532,0.624929,0.0161874,-0.63863,-0.0523756,0.00374075,-0.0189024,-0.999821,-0.000790429,0.111464,0.000228039,0.008638,0.11132,0.000623171,0.00078854,-0.999994,-0.00341172,-0.2214,3.87738e-05,0.0178685,-0.22144,0.0154124,0.00333433,0.196143,0.98057,-0.259638,0.0035117,-0.0197793,-0.0646148,0.277775,0.00595193,-0.199335,0.979913,0.259757,0.00342401,0.0235248,-0.0677127,-0.278998,
2991,67,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0.785078,0.617599,-0.0471622,-0.448866,0.00880226,0.614306,-0.0554631,-0.0178705,0.977924,-0.206401,-0.0326213,0.613521,0.0131789,-0.635421,-0.0398012,0.010522,-0.0291254,-0.999575,-0.00152239,0.10795,0.00018263,-0.02319,0.10868,-0.00515536,0.00263578,-0.999965,0.00786769,-0.201431,4.75511e-05,0.00115857,-0.201485,-0.00637592,-0.0104897,0.201556,0.979421,-0.237836,0.0033131,-0.0285438,-0.0525454,0.253341,0.0524752,-0.212976,0.975647,0.241997,0.00382055,-0.0413522,-0.059123,-0.258719,
2992,23,1,4,4,1,0,2,0,0,0,0,0,0,0,0,0.998715,0.0505496,-0.00372766,-0.639881,0.0348247,0.643943,-0.0638631,0.00147536,0.998174,-0.060368,-0.00219912,0.623188,0.0341115,-0.627621,-0.0546056,0.00450259,-0.0141561,-0.999899,0.00136138,0.119142,0.000181068,0.00930539,0.11903,0.00548479,0.000128861,-1,0.00047907,-0.231187,2.42091e-05,0.00468655,-0.231184,0.00530175,-0.00333793,0.10374,0.994599,-0.265331,0.00695708,-0.00717939,-0.053076,0.272284,0.000946696,-0.171523,0.98518,0.258312,0.00723794,-0.0049383,-0.0671951,-0.273892,
2994,564,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.972687,0.232116,-0.00148289,-0.619925,0.0173158,0.653328,-0.0670285,0.000253069,0.994929,-0.100525,0.00339163,0.62441,0.0179134,-0.632788,-0.0513191,0.00303858,-0.0340237,-0.999421,-0.000808121,0.103356,0.00039754,0.00855714,0.10312,0.00521928,-0.00343049,-0.99997,-0.0068975,-0.214947,4.5728e-05,0.0686102,-0.216309,0.162383,-0.00187135,0.172359,0.985032,-0.266554,0.00350251,-0.0119657,-0.0592068,0.280942,0.0056973,-0.21766,0.976008,0.262452,0.00346014,-0.00220928,-0.0737971,-0.285348,
3002,387,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.975753,0.218665,-0.00959992,-0.633104,0.0170614,0.662379,-0.0608004,-0.00843097,0.993242,-0.11594,-0.00533723,0.63144,0.0222512,-0.64248,-0.0579414,0.0038126,-0.0154489,-0.999879,0.00159425,0.0971633,0.000849474,0.00347382,0.0971157,-0.00353579,0.00377341,-0.999967,-0.00715199,-0.210377,2.38667e-05,0.00723928,-0.210649,0.0408599,0.00852454,0.132927,0.991089,-0.266204,0.00378532,-0.000345169,-0.0617507,0.276882,0.00986077,-0.145029,0.989378,0.268478,0.0034078,-0.0114943,-0.0630323,-0.280486,
3004,235,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0.878713,0.47735,0.000605648,-0.531391,0.0176042,0.639543,-0.0640691,-0.000221165,0.987572,-0.157152,-0.00197939,0.604117,0.012095,-0.61873,-0.0440729,0.000882093,-0.0394918,-0.999215,-0.003117,0.106773,0.000275018,-0.00502381,0.107048,0.00220847,7.47769e-05,-1,-0.000330202,-0.206339,2.53375e-05,0.118983,-0.206333,0.00862783,-0.00135385,0.154745,0.987954,-0.250075,0.00162038,-0.00888031,-0.0558156,0.261855,-0.00173575,-0.15941,0.987211,0.250837,0.00160739,-0.0127408,-0.056512,-0.263235,
3005,344,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.974011,0.226331,-0.0087678,-0.625566,0.0214846,0.655539,-0.0574215,-0.0068521,0.990644,-0.135576,-0.0156013,0.626753,0.0174983,-0.639311,-0.0490459,0.00467606,-0.0219309,-0.999736,-0.00686337,0.124994,0.000171083,-0.00188987,0.125079,-0.00159502,-0.000316748,-0.999994,-0.00337548,-0.22487,2.8206e-05,0.00815107,-0.224884,0.00316283,0.00906364,0.14974,0.988684,-0.26397,0.00318086,0.00373045,-0.0513322,0.274731,0.00190779,-0.183644,0.982991,0.2609,0.00313527,-0.0137495,-0.0616337,-0.276903,
3006,85,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0.879846,0.47515,-0.0101414,-0.530109,0.017552,0.636377,-0.0628895,-0.00768261,0.98798,-0.154356,-0.00834283,0.606098,0.0121488,-0.620411,-0.0447432,0.00607429,-0.0372595,-0.999305,-0.000838536,0.106503,0.000273959,-0.00848093,0.106891,0.00239901,0.00149727,-0.999999,8.93992e-05,-0.206404,2.87481e-05,0.0808534,-0.206282,0.0089202,0.0075539,0.160563,0.986997,-0.250239,0.00176288,-0.00800542,-0.0574688,0.262946,0.00882346,-0.163488,0.986506,0.249615,0.0016368,-0.0136409,-0.0562245,-0.262225,
3007,11,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0.894302,0.447463,-0.00138346,-0.529357,0.0188479,0.624722,-0.0655508,0.000755302,0.985294,-0.170854,-0.0022293,0.605832,0.0113862,-0.623674,-0.0507756,0.00247696,-0.0280495,-0.999583,-0.00690254,0.127476,0.000124811,-0.0142046,0.127928,-3.45798e-06,0.00215116,-0.999996,-0.00170032,-0.236081,2.38861e-05,0.188633,-0.235924,0.145431,0.00280461,0.131258,0.991344,-0.271098,0.00196045,-0.0131327,-0.0624735,0.281774,0.00210636,-0.15711,0.987579,0.267716,0.0020029,-0.0088833,-0.0778435,-0.283448,
3008,24,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0.894704,0.44649,-0.0122979,-0.543466,0.0184416,0.640692,-0.0667944,-0.00480035,0.989608,-0.143636,-0.00672364,0.616075,0.0126492,-0.629201,-0.0459464,0.00181636,-0.035147,-0.99938,0.00227296,0.101424,0.000268186,-0.0121505,0.101916,0.000893186,-0.000727216,-0.999998,-0.00195711,-0.207053,3.55732e-05,0.0880848,-0.207116,-0.000817289,0.00221574,0.144579,0.989491,-0.254934,0.0017351,-0.00913631,-0.0600208,0.266432,0.00468357,-0.143409,0.989652,0.255814,0.00163587,-0.0137462,-0.0585284,-0.266905,
