id,mold,eside,eback,efront,ematerial,ebathtype,elength,m1,m2,m3,m4,m5,m6,m7,m8,backA,backB,backC,backD,backK,back-cx,back-cy,back-cz,back-planarity,frontA,frontB,frontC,frontD,frontK,front-cx,front-cy,front-cz,front-planarity,bottomA,bottomB,bottomC,bottomD,bottomK,bottom-cx,bottom-cy,bottom-cz,bottom-planarity,topA,topB,topC,topD,topK,top-cx,top-cy,top-cz,top-planarity,rightA,rightB,rightC,rightD,rightK,right-cx,right-cy,right-cz,right-planarity,leftA,leftB,leftC,leftD,leftK,left-cx,left-cy,left-cz,left-planarity,heightFront,heightBack,heightRatio,lengthTop,lengthDown,lengthRatio,widthTopFront,widthTopBack,widthDownFront,widthDownBack,widthTopRatio,widthDownRatio,TFW,TBW,DFW,DBW,TWL,TWR,DWL,DWR,WFL,WFR,WBL,WBR,slopeBack,slopeFront,slopeDown,slopeSide,parallelismCos,parallelismTop,parallelismDown,parallelismRatio
1461,11,0,4,1,0,0,2,0,0,0,0,0,0,0,0,-0.887254,-0.461232,-0.00672145,0.556192,0.018228,0.637478,-0.0204984,0.00627215,0.0457516,0.989996,-0.140829,0.00870946,0.615271,0.00884018,-0.621033,0.00281092,-0.00639195,0.337156,-0.0366561,-0.999328,-0.000728609,0.18224,8.56711e-05,-0.0226911,0.183195,0.000531265,0.686552,0.000881618,0.999998,0.00154548,0.183159,1.99428e-05,0.113701,-0.183239,-0.0131397,0.230159,0.00906861,-0.125389,-0.992066,0.279627,0.00172645,-0.0109196,-0.0088352,0.28288,0.506215,-0.0118297,-0.132228,0.991149,0.279002,0.00141669,-0.00739354,-0.0100459,-0.282922,0.544084,-0.386725,-0.346111,0.894979,1.36984,1.1356,0.829001,0.612563,0.609059,0.511959,0.519606,0.99428,1.01494,0.612563,0.609059,0.511959,0.519606,1.36916,1.37052,1.1352,1.13601,0.393606,0.393984,0.392498,0.393136,0.462025,0.139962,0.99936,0.128816,0.999996,1.00575,0.985283,0.979647,
1462,11,0,4,1,0,0,2,0,0,0,0,0,0,0,0,-0.887907,-0.459839,-0.0130365,0.566222,0.0175718,0.649811,-0.0235432,0.00587384,0.0421941,0.986298,-0.164814,0.00725023,0.62144,0.00917003,-0.628565,0.00871874,-0.00702341,0.317757,-0.0413023,-0.999141,-0.00341446,0.179264,8.82252e-05,-0.0152726,0.180048,0.000355796,0.684211,0.00705269,0.999972,0.00242793,0.185167,2.29287e-05,0.0723585,-0.185656,-0.0108625,0.27897,0.00673411,-0.132249,-0.991194,0.280974,0.00164189,-0.0065224,-0.0119284,0.285018,0.50905,-0.0119655,-0.131264,0.991275,0.279958,0.00147978,-0.00387785,-0.0117346,-0.284023,0.520225,-0.385016,-0.345491,0.897342,1.39648,1.1536,0.826075,0.617338,0.6126,0.514768,0.521364,0.992326,1.01281,0.617338,0.6126,0.514768,0.521364,1.39824,1.39473,1.15499,1.15222,0.39332,0.393207,0.393292,0.393036,0.466129,0.157858,0.999413,0.131762,0.999986,1.00773,0.987348,0.979771,
1463,56,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.983963,-0.178374,-0.000469943,0.654352,0.0184097,0.666582,-0.0086352,0.000616962,0.100279,0.995753,-0.0913807,0.011209,0.648741,0.0322975,-0.651101,0.00553944,0.00901413,0.0803109,-0.0208741,-0.999781,0.00123238,0.171799,0.000243595,-0.00886295,0.172021,-0.000706897,0.502863,-0.00254867,0.999997,9.89163e-05,0.159626,1.61954e-05,0.0424261,-0.159515,-0.0281659,0.407273,-0.0119177,-0.162371,-0.986658,0.276032,0.00269993,-0.00401589,0.00241483,0.279416,0.105747,0.00301628,-0.145955,0.989287,0.276773,0.00262768,-0.000907475,-0.00064458,-0.279863,0.105018,-0.346332,-0.316547,0.914,1.36006,1.27115,0.934624,0.615995,0.602542,0.507567,0.504305,0.978161,0.993575,0.615995,0.602542,0.507567,0.504305,1.3567,1.36346,1.26849,1.27381,0.351122,0.353051,0.324605,0.325988,0.175866,0.0939241,0.999726,0.154169,0.999959,1.02233,1.00647,0.984487,
1464,56,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.985381,-0.170366,-0.000138851,0.654952,0.0178354,0.666668,-0.0115604,-0.00240934,0.111111,0.994855,-0.101104,0.0064969,0.648353,0.0181316,-0.650602,0.0113234,0.00708465,0.0871795,-0.0210138,-0.999775,0.00287539,0.17155,0.000247643,-0.00417336,0.171677,0.00024504,0.536702,-0.000961349,0.999999,0.000247293,0.159096,1.63179e-05,-0.00282265,-0.159102,0.0159651,0.404605,-0.00873752,-0.160181,-0.987049,0.275997,0.00270608,-0.00827614,0.00336389,0.279146,0.093318,0.004976,-0.143824,0.989591,0.276043,0.00288562,0.00177242,0.00263413,-0.278572,0.0898483,-0.344605,-0.316658,0.918902,1.36008,1.27057,0.934188,0.610301,0.604657,0.504127,0.507462,0.990752,1.00661,0.610301,0.604657,0.504127,0.507462,1.35809,1.36207,1.26917,1.27196,0.349112,0.351839,0.323794,0.326139,0.169419,0.102063,0.999758,0.152006,0.999993,1.00933,0.993429,0.984242,
1465,12,1,2,2,1,0,2,0,0,0,0,0,0,0,0,-0.962404,-0.271151,-0.0159931,0.63712,0.0142224,0.663762,-0.00674871,0.00896263,0.0251572,0.977853,-0.207867,0.0243923,0.639631,0.0144733,-0.652714,0.00525911,-0.0114675,0.101744,-0.0193744,-0.999808,-0.00278581,0.160564,0.000523954,-0.00685106,0.160726,0.000593831,0.202346,0.000124135,0.999999,0.00135069,0.157151,1.98646e-05,0.0203766,-0.157156,0.00199085,0.382911,0.00913384,-0.129252,-0.99157,0.263599,0.00321454,-0.0066846,-0.00556419,0.266503,0.0327044,-0.0169085,-0.118829,0.992771,0.26304,0.00329506,0.00274666,-0.00346133,-0.265323,0.0265823,-0.329642,-0.305796,0.927663,1.39357,1.23758,0.888068,0.575439,0.564553,0.492472,0.488768,0.981082,0.99248,0.575439,0.564553,0.492472,0.488768,1.39098,1.39618,1.23524,1.23993,0.339415,0.339683,0.320046,0.31989,0.271305,0.207808,0.999815,0.124051,0.999969,1.01928,1.00758,0.988516,
1466,12,1,2,2,1,0,2,0,0,0,0,0,0,0,0,-0.961888,-0.273246,-0.0104008,0.628168,0.013814,0.654106,-0.0040521,0.00942622,0.0282132,0.982992,-0.183356,0.0103555,0.6352,0.0144244,-0.644878,0.0067094,-0.00577404,0.100295,-0.0204617,-0.999787,0.00254059,0.162288,0.000521206,-0.00337776,0.162389,-0.00126327,0.2,-0.000708155,0.999998,0.00183686,0.155599,1.46764e-05,-0.024877,-0.155621,0.00260476,0.441176,0.011663,-0.123941,-0.992221,0.262636,0.00321972,-0.0127522,4.39055e-06,0.264545,0.0178799,-0.0153083,-0.122097,0.9924,0.26221,0.0031421,0.000287596,3.94753e-05,-0.264208,0.0217391,-0.330875,-0.305033,0.921899,1.37235,1.22425,0.892085,0.570038,0.564769,0.487769,0.489474,0.990758,1.0035,0.570038,0.564769,0.487769,0.489474,1.37219,1.37251,1.22464,1.22387,0.337889,0.340369,0.317949,0.320587,0.27258,0.184062,0.999776,0.12303,0.999993,1.00933,0.996517,0.987307,
1467,67,2,2,1,0,0,2,0,0,0,0,0,0,0,0,-0.786174,-0.617492,0.0251921,0.490225,0.00842859,0.623966,-0.000912514,-0.00966152,0.116915,0.983717,-0.176814,-0.0322262,0.621706,0.00959252,-0.628817,0.0173781,0.00172383,0.0777027,-0.0322852,-0.999407,-0.0119813,0.169394,0.000131285,-0.0206939,0.17017,-0.000568009,0.576879,-0.00526401,0.999986,-0.000893179,0.14699,1.65828e-05,-0.0133577,-0.147115,-0.0582081,0.483395,0.0234516,-0.139882,-0.98989,0.251214,0.002144,-0.0203295,0.00623363,0.252417,0.173207,0.0430998,-0.15163,0.987497,0.258463,0.00195097,-0.0325609,0.0056857,-0.259441,0.258917,-0.338898,-0.297683,0.878385,1.39466,1.10146,0.789769,0.51562,0.607361,0.41966,0.504411,1.17793,1.20195,0.51562,0.607361,0.41966,0.504411,1.39489,1.39595,1.09834,1.1062,0.351541,0.344455,0.3847,0.37615,0.61354,0.182085,0.999295,0.145845,0.997736,0.84895,0.831981,0.980012,
1468,67,2,2,1,0,0,2,0,0,0,0,0,0,0,0,-0.791158,-0.611036,0.0265297,0.495981,0.00893965,0.629123,-0.00347731,-0.0139731,0.0744417,0.973259,-0.226454,-0.0385405,0.621433,0.00889326,-0.634514,0.0172319,-0.000393989,0.0872483,-0.0302156,-0.999481,-0.0111486,0.167688,0.000124116,-0.018987,0.168392,-0.00383634,0.580941,0.00194467,0.999994,-0.00271684,0.147499,2.3655e-05,0.0353962,-0.147694,-0.0460897,0.378549,0.0238776,-0.149981,-0.988401,0.251491,0.00198277,-0.0159831,0.00540063,0.253237,0.171854,0.0433316,-0.154217,0.987086,0.258474,0.0020945,-0.0203147,0.00608556,-0.260013,0.251638,-0.332063,-0.300983,0.906402,1.41407,1.10461,0.781157,0.515775,0.612767,0.418744,0.504253,1.18805,1.2042,0.515775,0.612767,0.418744,0.504253,1.4161,1.4137,1.10266,1.10821,0.348005,0.340434,0.389038,0.380335,0.612789,0.224728,0.9996,0.152191,0.997687,0.841714,0.830424,0.986587,
1469,28,0,2,1,1,0,2,0,0,0,0,0,0,0,0,-0.878365,-0.477958,0.00558953,0.581818,0.0126448,0.666008,-0.00671636,-0.00541002,0.150224,0.997688,-0.0676618,-0.00640914,0.617985,0.016449,-0.618751,0.00855258,0.0133915,0.125926,-0.026971,-0.999631,0.0031725,0.182203,0.000339695,-0.00935838,0.182535,0.0038832,0.299313,-0.00103399,0.999998,-0.00164871,0.165615,2.57865e-05,0.0510793,-0.165533,0.0177764,0.249123,-0.0163181,-0.136098,-0.990561,0.278575,0.00218061,0.0127167,-0.00207594,0.281305,0.183215,0.0157795,-0.135426,0.990662,0.273331,0.00221422,0.00555851,0.000121592,-0.275979,0.211516,-0.364877,-0.331862,0.909518,1.38282,1.17802,0.851893,0.602998,0.601869,0.502975,0.511067,0.998128,1.01609,0.602998,0.601869,0.502975,0.511067,1.38314,1.3825,1.17855,1.17749,0.368837,0.369451,0.380203,0.380451,0.477057,0.0686947,0.999608,0.135779,1,1.00188,0.984167,0.982324,
1470,28,0,2,1,1,0,2,0,0,0,0,0,0,0,0,-0.881274,-0.472552,0.00714332,0.585193,0.0126006,0.667058,-0.00578284,-0.00906859,0.144186,0.997032,-0.0767017,-0.00656334,0.618806,0.0162798,-0.620102,0.00597787,0.013064,0.118932,-0.0274131,-0.999615,0.00418263,0.182194,0.0003342,-0.00454939,0.182399,0.0024889,0.334311,-0.000629082,0.999997,-0.0021477,0.167566,3.44519e-05,0.0576514,-0.167532,-0.000751931,0.233333,-0.0172222,-0.134345,-0.990785,0.278946,0.00216033,0.0118558,-0.00323527,0.281773,0.198582,0.0134396,-0.134864,0.990773,0.273916,0.0019837,0.011513,-0.0010028,-0.27676,0.194607,-0.366833,-0.333695,0.909663,1.38722,1.18057,0.851032,0.606009,0.600489,0.506233,0.510546,0.990891,1.00852,0.606009,0.600489,0.506233,0.510546,1.38713,1.3873,1.18083,1.18031,0.370918,0.371686,0.380914,0.381452,0.472009,0.0773305,0.999607,0.13462,0.999993,1.00919,0.991553,0.98252,
